episode,total_steps,avg_reward,critic_loss,actor_loss,throughput,non_blocked,load_balance
0,100,-26.84674499473349,10.504955787658691,-0.28305768460035324,51270894.55592807,0.9297333333333332,-0.26615218651461753
1,200,-26.73467907770895,3.7740057,0.6230292,51262945.73184147,0.9267933333333331,-0.2650157598400995
2,300,-26.66860450012638,1.7406551,1.5305908,51427642.01472426,0.9310533333333334,-0.26469859051823624
3,400,-26.896499785082874,1.3624042,1.5798308,51372680.35961246,0.9296333333333331,-0.26691764789813865
4,500,-26.552787273536023,1.1512954,1.7137854,51559192.40784399,0.9337599999999999,-0.2636234272572736
5,600,-26.551066424942917,1.0122281,1.8942088,51477729.24980779,0.9324466666666666,-0.2633758455109244
6,700,-26.189323316841513,0.98500514,2.0187426,51581544.19661594,0.9373666666666665,-0.25982288912424395
7,800,-26.363847980407723,0.9220791,2.1736863,51623134.907713324,0.9386999999999998,-0.26155678244497005
8,900,-25.887724215925196,0.89161664,2.3131251,51745111.402595796,0.9407933333333333,-0.25676955650528954
9,1000,-26.102032780190356,0.8757917,2.4888368,51779982.64016649,0.9406599999999999,-0.25887164390255524
10,1100,-25.64446499043702,0.86141497,2.639666,51926837.81073397,0.9438866666666665,-0.254371966294734
11,1200,-25.52429542698568,0.8381228,2.767161,51989848.24424711,0.943913333333333,-0.2531457834262506
12,1300,-25.305014899881098,0.84519655,2.9471936,51906089.67620899,0.9445266666666665,-0.2508317596894905
13,1400,-25.516819277029622,0.85347944,3.082987,51810731.92015709,0.9432066666666666,-0.2530940351006786
14,1500,-24.975264908188418,0.8456201,3.2461655,52048314.609164596,0.9489466666666665,-0.24788681704651133
15,1600,-25.15287655219631,0.8507931,3.3888597,52084217.16052481,0.9495,-0.24948850217548696
16,1700,-24.80059541298335,0.8505548,3.5801573,51897298.00554006,0.9469133333333329,-0.24598831778618022
17,1800,-24.977317422477558,0.8181621,3.6826022,51910237.33937863,0.9462933333333332,-0.24790702028123682
18,1900,-24.798248215743246,0.8834014,3.863948,52091207.382113144,0.9491933333333331,-0.24581800553110597
19,2000,-24.510462240870574,0.8615004,4.1000385,52027608.95095952,0.9479399999999999,-0.2430476070837842
20,2100,-24.556060277581462,0.846774,4.2411222,52027736.41948377,0.9498599999999999,-0.24358143303403043
21,2200,-24.17451349847215,0.8233177,4.4026365,52087327.6473799,0.9503333333333333,-0.23983929483372773
22,2300,-23.803833264529622,0.81562203,4.5734434,51866249.61439777,0.9497266666666664,-0.2362581347913541
23,2400,-23.711529884671563,0.82435524,4.748188,51982454.81654922,0.9524866666666665,-0.2350608453499856
24,2500,-23.133795901438923,0.86550504,4.8630996,52093070.32012819,0.95524,-0.2295052174524481
25,2600,-23.732004137248914,0.84305483,5.0324683,52041919.50796484,0.9521933333333334,-0.23559019745814494
26,2700,-23.32429061739668,0.8485004,5.180744,52126502.968747854,0.9502799999999999,-0.2313392984779631
27,2800,-23.319641807246736,0.8609057,5.277557,51935077.05948954,0.95116,-0.2311553728398527
28,2900,-22.948599594926897,0.82291883,5.4362097,51986461.30135687,0.9530733333333334,-0.2276668542066663
29,3000,-22.794703167194026,0.8621352,5.6455464,52091999.87283799,0.9561333333333333,-0.22601304568293867
30,3100,-22.292211092336625,0.84365875,5.813133,51936950.68765366,0.9537799999999999,-0.2210862321562981
31,3200,-22.031566465485998,0.8863439,5.969652,52040678.328136764,0.9549266666666666,-0.2185708439290198
32,3300,-22.259517125696377,0.8496802,6.040781,51950596.64755393,0.9550133333333333,-0.2209120464957834
33,3400,-21.899306497566858,0.9126743,6.105861,51955741.44908065,0.9551466666666665,-0.2171895473431485
34,3500,-21.861724120647853,0.8766272,6.3493667,51949480.92077812,0.95762,-0.21685090201314625
35,3600,-21.603340473589068,0.9238916,6.577348,51834880.80059627,0.9552799999999998,-0.21399358981292307
36,3700,-21.14024484061055,0.90752596,6.642821,52021038.00424757,0.9578266666666668,-0.20964559408322037
37,3800,-20.94316207247008,0.83393884,6.758735,52012444.26642179,0.9579399999999999,-0.20748507525973575
38,3900,-21.370136382666168,0.93317586,6.9443398,52068654.11434143,0.9583333333333334,-0.2119218871939895
39,4000,-20.820928767112594,0.98372996,7.10854,51846944.99153732,0.9559266666666667,-0.20661513259542705
40,4100,-20.851938105366518,0.9170684,7.2221947,52057439.47955286,0.9599133333333333,-0.20667179996775803
41,4200,-20.848873130211928,0.9063671,7.305732,51897348.3077924,0.9600933333333332,-0.20667653499715963
42,4300,-20.748922436511457,0.94968814,7.500774,51892970.58282202,0.9583133333333332,-0.2057312289700408
43,4400,-20.439914922890626,0.992008,7.607561,52012430.16345272,0.9613599999999999,-0.20270351867313277
44,4500,-20.371104077697908,0.87209016,7.7088695,51885396.926972814,0.96064,-0.20180460570439893
45,4600,-20.120056191476486,0.8623114,7.970463,51764723.48777058,0.9602466666666666,-0.19957233984914255
46,4700,-20.33884151671827,0.941833,8.027953,51856205.27207228,0.9591533333333333,-0.20181399493263466
47,4800,-20.075371007165636,0.9819943,8.250449,52167792.7197602,0.9647133333333334,-0.19923998927425846
48,4900,-20.15835919911886,0.96824706,8.300736,52021386.49664475,0.9640866666666666,-0.20008302526015162
49,5000,-20.216530619021736,0.9116754,8.477118,51894526.3080364,0.9618466666666666,-0.20057018960101544
50,5100,-19.9832239302604,0.95499474,8.627584,51810439.22875745,0.96204,-0.19801656373757293
51,5200,-19.932096024128494,0.7991996,8.693903,51848144.86730477,0.9626399999999999,-0.19775099741017588
52,5300,-19.818058783274545,1.0073919,8.831175,51951602.47854493,0.9638266666666666,-0.19650821082801734
53,5400,-19.945870542200854,0.9695511,9.044057,51960166.29502042,0.9634933333333334,-0.1978278332253825
54,5500,-19.780309951510603,1.0252118,9.156282,51971388.2335253,0.96268,-0.1962172493574662
55,5600,-19.59532875736535,0.9397232,9.347903,51994702.72656903,0.965493333333333,-0.19427445848565367
56,5700,-19.54225549257919,0.98511595,9.353144,52056819.76063721,0.9648666666666667,-0.19358388280411867
57,5800,-19.38572622492304,1.0451928,9.585961,51847217.899138905,0.9651799999999998,-0.19235319674163268
58,5900,-19.59604445541379,1.0269558,9.560097,51949881.09745253,0.9633,-0.19415581552188776
59,6000,-19.50864291063927,1.0195757,9.690108,51850715.50191411,0.9633933333333334,-0.1932299848987668
60,6100,-19.299829036744015,0.99779963,9.953446,52046302.74718586,0.9661399999999999,-0.19162734251064026
61,6200,-19.383908302261975,1.0877469,10.033278,51833707.743433826,0.9634933333333334,-0.1920227556078008
62,6300,-19.151849199783772,1.0270306,10.254225,51793700.51933013,0.9646399999999997,-0.18992203501438878
63,6400,-19.406921422621433,1.0121938,10.239068,51899925.2732322,0.9644866666666666,-0.19244442113028845
64,6500,-19.25049125238971,1.0775893,10.347896,52084969.91445963,0.96814,-0.190883548185508
65,6600,-19.17516507189935,0.93395674,10.625009,51966305.69431668,0.9647466666666665,-0.1902705843047077
66,6700,-19.411681953720528,0.9353156,10.6713085,51956515.68001751,0.9652333333333334,-0.19235113403476742
67,6800,-19.430587230979558,1.188045,10.661709,51937849.520499066,0.9623399999999999,-0.19284422135510734
68,6900,-19.441999479233058,1.0468619,10.903788,51886596.123875454,0.9621999999999999,-0.19272689118253436
69,7000,-19.24802678157432,1.0567385,11.026547,51988557.657826595,0.965,-0.1906349100117855
70,7100,-19.30484923713836,1.1762236,11.186646,51978209.09184096,0.9666333333333333,-0.19145511722782935
71,7200,-19.263948338271664,1.0841758,11.293227,51792672.47359843,0.9629133333333334,-0.19103783034515157
72,7300,-19.30001195386312,1.1032319,11.520611,52000133.00909873,0.9659533333333333,-0.19141031034196337
73,7400,-18.9808395921864,1.2147335,11.591937,51918988.7762646,0.9636599999999999,-0.18821723326076714
74,7500,-18.9134354957196,1.0624442,11.671191,51859236.80068152,0.9641333333333332,-0.18766758187799165
75,7600,-18.903060701346362,1.1293645,11.694376,51874777.387921676,0.96522,-0.18736197541422966
76,7700,-19.03635238043241,1.0636562,11.750616,51939649.07520192,0.96584,-0.18875855030889366
77,7800,-18.914219939559455,1.2461765,11.889955,51761842.15202488,0.9625866666666665,-0.18763508932718329
78,7900,-19.055594276029424,1.1529578,12.248059,51961681.1609403,0.9665999999999998,-0.18878009704407864
79,8000,-18.875979865417982,1.2267054,12.198692,52024212.681170925,0.9679466666666665,-0.18708821298473094
80,8100,-19.036609862696388,1.1598529,12.573816,51987436.859272026,0.9656866666666666,-0.18864307406848196
81,8200,-18.667510624802105,1.1639054,12.309399,51840486.876681015,0.9666133333333333,-0.18496620424997615
82,8300,-18.820555166837902,1.1267582,12.68457,51936492.0609459,0.9663599999999999,-0.18659810258346898
83,8400,-19.130743332508775,1.0645121,12.72298,51896991.774585456,0.9643000000000002,-0.1896484283979592
84,8500,-18.841972566814157,1.0881171,12.850576,52020327.498445086,0.9659533333333333,-0.18693800313251713
85,8600,-19.154981098996828,1.1080444,12.904174,51919397.63947849,0.9673133333333334,-0.18987753338522134
86,8700,-19.18501749043286,1.0793283,13.093708,51797784.17812341,0.9613200000000001,-0.19025616591404024
87,8800,-18.953320652565175,1.0854957,13.29443,51885531.09872048,0.9648999999999999,-0.1879015959238434
88,8900,-18.962399022483243,1.1077291,13.4413595,51983843.08837663,0.9655533333333332,-0.1880910384875824
89,9000,-18.806957070715843,1.113544,13.332136,51924610.10231315,0.9671933333333332,-0.18633653426309713
90,9100,-18.838011276807794,1.1621976,13.751325,52059107.287394874,0.9674599999999999,-0.1868352487761027
91,9200,-18.898897164759852,1.1445081,13.617148,51766335.014662944,0.96368,-0.18739122938345956
92,9300,-18.882084525055863,1.0144415,13.754886,51899114.635044605,0.9641333333333334,-0.1872205794545246
93,9400,-18.696712922908358,1.0476114,13.912887,51812522.90907763,0.9668066666666666,-0.1854256678272213
94,9500,-18.456817820790736,1.1077222,14.14695,51809663.40412254,0.9657133333333332,-0.1829925308655465
95,9600,-18.592004423983198,1.2572562,13.915981,51849268.12088461,0.96664,-0.1844869034333975
96,9700,-18.522981495167635,1.134399,14.156228,51956094.569520354,0.9690866666666665,-0.1838420077285846
97,9800,-18.931998276398055,1.1221647,14.218184,51871477.180995874,0.96422,-0.18762211220908834
98,9900,-18.9215598149598,0.99141914,14.398728,51828753.11702748,0.9614133333333332,-0.18758683146100363
99,10000,-18.639591716254817,1.3394876,14.510947,51907021.332575016,0.9657866666666667,-0.18479560891087266
100,10100,-18.595301867429253,1.1489377,14.552415,51864310.38377675,0.9670733333333331,-0.18461304896997527
101,10200,-18.624708066645063,1.1430521,14.791067,51894665.81737824,0.9663266666666667,-0.18450277605668672
102,10300,-18.641136125466847,1.1776738,14.790191,51858874.1060162,0.9661533333333332,-0.18487106634004316
103,10400,-18.905675576194593,1.0389569,15.16553,51846139.87282434,0.9650133333333334,-0.18748363207735716
104,10500,-18.746265822279703,1.0249618,15.116367,51854408.3377058,0.9665933333333332,-0.1859607621986069
105,10600,-18.542700096549837,1.1893859,14.957634,51914912.517740294,0.96504,-0.18377130363651126
106,10700,-18.489198727892685,1.0968345,15.322633,51997124.842913605,0.9683933333333332,-0.1835883349245336
107,10800,-18.41206201411016,1.0789962,15.398264,51848418.67408963,0.9675066666666666,-0.1826500951226999
108,10900,-18.186975526212713,1.0218107,15.759679,51891967.764691025,0.9667800000000002,-0.18031196514553466
109,11000,-18.576661264875174,1.0641598,15.664709,51915909.84026836,0.96792,-0.18429149245343154
110,11100,-18.440424767462794,1.0897143,15.606453,51811912.74646805,0.96634,-0.1828843162353074
111,11200,-18.532712089629367,1.0744303,15.829839,51879400.86116469,0.9645933333333333,-0.18391268021188356
112,11300,-18.618360060598597,1.1815206,15.8864355,51877155.517736815,0.9671266666666668,-0.18432392190362545
113,11400,-18.55953517645639,1.0918165,15.920383,51857956.25902832,0.9657800000000001,-0.18387812452314156
114,11500,-18.626604550826293,1.0683274,16.166758,51837489.88656911,0.9666,-0.18477270798206383
115,11600,-18.65807896921204,1.0227749,16.229736,51922615.688906856,0.9668666666666667,-0.18500546500142734
116,11700,-18.701889607553312,1.2193416,16.310793,51874911.954192035,0.9659666666666668,-0.18554317084209213
117,11800,-18.372167230999516,1.1140817,16.542656,51862579.66804911,0.9658599999999999,-0.18218503297757646
118,11900,-18.384012850658625,1.1379644,16.447731,51934116.82386944,0.9679066666666666,-0.18243325301377797
119,12000,-18.345878929750313,1.2532988,16.54207,51956406.64262039,0.9690666666666666,-0.18198394504306212
120,12100,-18.441541136165146,0.93186784,16.9567,51933999.1840526,0.9696066666666667,-0.18287841085603093
121,12200,-18.576199971344582,1.2011982,16.896355,51923298.86333262,0.96592,-0.18438220402071306
122,12300,-18.578121907930267,1.0727012,16.778767,51985198.6189717,0.9666133333333333,-0.1844217694335522
123,12400,-18.37447913164682,0.9964156,17.117935,51977682.964037076,0.9658533333333332,-0.18219067415100468
124,12500,-18.35521466445223,0.95070344,17.1305,52066078.254812464,0.9675866666666667,-0.18202518918026572
125,12600,-18.389796346765298,1.0843369,17.33066,51926932.36324532,0.9674199999999998,-0.1823973285487755
126,12700,-18.594572013841137,0.9907115,17.281046,51937512.313486606,0.9675999999999998,-0.18430600451451756
127,12800,-18.35663698025879,0.9925212,17.584341,51942421.36715224,0.9698533333333332,-0.18197531565663133
128,12900,-18.541030000564184,1.055704,17.343016,51947773.17924171,0.9681133333333332,-0.1840416298669337
129,13000,-18.31855288472701,1.0590118,17.696823,51870103.515749894,0.9668399999999999,-0.18161543908856184
130,13100,-18.38124250998873,1.0593927,17.606117,51957866.46116217,0.9680866666666664,-0.18238944252778172
131,13200,-18.623835641648245,1.0877569,17.727531,51870992.064389534,0.967553333333333,-0.18471409931653382
132,13300,-18.55772702395086,1.0591909,18.135143,51952492.704620175,0.9674733333333332,-0.1837531444557806
133,13400,-18.41247764947192,0.93394715,18.282799,51835516.350145675,0.9659933333333335,-0.18259701731110878
134,13500,-18.718515388672287,0.9918727,18.233078,51935209.24658813,0.9667,-0.185765690222019
135,13600,-18.363582030080966,1.0478799,18.216974,51922969.496323176,0.9685599999999999,-0.18210409214457204
136,13700,-18.519029357963237,0.96093214,18.56667,51761758.85255654,0.9638733333333334,-0.18368116582072677
137,13800,-18.44826655762763,1.021729,18.649822,52025424.59173689,0.9669333333333332,-0.18292932732961373
138,13900,-18.374370071782096,1.1181318,18.532892,51893462.464303404,0.9686,-0.18219428140226426
139,14000,-18.206618034642172,1.0784743,18.512096,51855425.0304917,0.9689933333333333,-0.18051034450050205
140,14100,-18.420196308208805,0.97779465,19.019089,51749914.186788134,0.9668666666666665,-0.18286177597755052
141,14200,-18.255727557660013,1.0243199,18.912285,51960184.04098668,0.9692866666666667,-0.18120975702178224
142,14300,-18.467413284545103,1.0249844,19.049564,51803427.87613904,0.9675266666666665,-0.18323085723529767
143,14400,-18.28266528697741,1.0552244,19.078133,51847769.70825099,0.9664333333333331,-0.18141542495501117
144,14500,-18.52881543507508,1.0262904,19.14728,51822524.297571726,0.9650533333333334,-0.183692634389044
145,14600,-18.039793050184265,1.0260073,19.129515,51964974.85712019,0.9692666666666665,-0.17902082686913257
146,14700,-18.361503867599613,1.0014015,19.313066,51879832.811758615,0.96712,-0.18216055637834186
147,14800,-18.300552771495642,0.9864013,19.234865,51980628.242949985,0.9695666666666667,-0.18147742229487476
148,14900,-18.174935858572823,0.9880005,19.365746,51895626.51299231,0.9686733333333332,-0.1802713023767317
149,15000,-18.05668908006621,1.0465637,19.355179,51945644.13232668,0.9713466666666666,-0.17890994397664914
150,15100,-18.163302631891966,0.9584543,19.639109,51798748.13592883,0.96832,-0.18031182371974133
