episode,total_steps,avg_reward,critic_loss,actor_loss,throughput,non_blocked,load_balance
0,100,-26.04843772771504,9.19067153930664,-0.28064365305006506,51567748.06603647,0.9339999999999997,-0.2580355375745607
1,200,-26.17493678112712,3.6143262,0.6217173,51670221.3002944,0.9329666666666667,-0.259264952652892
2,300,-26.04177486864171,1.8207318,1.4625438,51871540.638924375,0.9364733333333333,-0.25841172947490837
3,400,-26.009308659668914,1.3640269,1.5201042,51882810.29183022,0.9375333333333331,-0.25806890344479794
4,500,-25.457460729791467,1.1387296,1.6742038,51957980.26588072,0.9419266666666665,-0.25265135550719975
5,600,-25.29458079990098,0.98857045,1.8028127,51876683.07594626,0.9414333333333331,-0.2507898490150876
6,700,-24.94634397533126,0.9129263,1.9084151,51990990.12916204,0.9460066666666663,-0.24742785244071358
7,800,-24.47053787257027,0.83119726,2.0584862,52028854.448569804,0.9494933333333332,-0.24265109109713018
8,900,-23.952118100591626,0.80128837,2.143637,52201099.37072245,0.9511533333333333,-0.23759561107671698
9,1000,-23.599192825635132,0.80062956,2.2891152,52190177.793258816,0.9532333333333333,-0.23396753461584385
10,1100,-22.982550406204606,0.8005854,2.4047685,52260555.39711977,0.9571533333333332,-0.22778935644747764
11,1200,-22.87607768403206,0.7930507,2.5018392,52350196.02659973,0.9582666666666667,-0.2267387777426523
12,1300,-22.52609186382521,0.80234015,2.6664844,52220992.51049047,0.9585266666666664,-0.22304990635837454
13,1400,-22.59128249197564,0.78229505,2.773929,52231071.225394845,0.9569399999999998,-0.2238401277483839
14,1500,-21.633238348595217,0.7671452,2.9359643,52142676.21191262,0.9611933333333333,-0.21440824132388883
15,1600,-21.60086516776929,0.797966,3.0274322,52250060.676613264,0.9624333333333333,-0.2140432422185321
16,1700,-21.623198545666753,0.80174124,3.1894782,52047219.318337224,0.9598999999999999,-0.21429635476646727
17,1800,-21.669576045291606,0.8105174,3.2603,52009039.321317784,0.9599199999999999,-0.21487019611341046
18,1900,-21.70236603934022,0.82707465,3.4435956,52091468.879532024,0.9589466666666666,-0.21476661866906088
19,2000,-21.40800405663928,0.7786195,3.6327243,52162415.25660687,0.9603599999999998,-0.21217484109356802
20,2100,-21.62193651924073,0.7834631,3.7766964,52222360.43125184,0.9601733333333332,-0.21419582397659348
21,2200,-21.259335609760974,0.75629634,3.9313288,52249140.94357978,0.9616866666666667,-0.21070493013092653
