episode,loss,nll,kl,consistency
0,40.61579683091905,1.4344538847605388,3.14560243818495,0.013710055810709795
1,33.979761335584854,1.360525581571791,7.940674675835504,0.01374001656141546
2,25.635798348320854,1.3210156758626301,32.58604081471761,0.024293896535204515
3,13.93162981669108,1.2998004224565294,143.81985388861762,0.03857708784441153
4,7.678354952070448,1.28764808177948,280.09564208984375,0.021392195899453428
5,4.994622230529785,1.2436268594529893,209.6376478407118,0.011088201879627176
6,3.6423042085435657,1.2113472885555692,144.6944342719184,0.006731029910345872
7,3.0733476744757757,1.1931452353795369,125.10697597927518,0.0044212540249443716
8,2.7436911265055337,1.1839657359653049,98.49471367730035,0.003258716573731767
9,2.576644288169013,1.1794442865583632,82.67205980088976,0.002414967140389813
10,2.475583102968004,1.1725720299614801,81.47042422824435,0.0018265090960388382
11,2.4176467789544,1.1674076716105144,77.54772271050348,0.0013864271523844865
12,2.3720239533318415,1.1616626183191936,73.71799723307292,0.0011109164139876764
13,2.339262538486057,1.151547008090549,73.1801528930664,0.0009530629484086401
14,2.2978722519344754,1.1328113741344876,72.68099127875433,0.0008067502252136668
15,2.2521347999572754,1.103451304965549,70.71393500434027,0.0006877901614643633
16,2.2232760853237576,1.071568210919698,71.60175493028429,0.0006018362861747543
17,2.185260428322686,1.0505581167009141,69.89513481987848,0.0005579831324414246
18,2.1655211978488498,1.0330866575241089,70.69581519232855,0.0005188378628291604
19,2.1419823699527316,1.020624730322096,69.50672403971355,0.0004585647968471878
20,2.121503141191271,1.0093805061446295,68.87061648898654,0.000402474750040306
21,2.116668277316623,0.9981797734896342,69.15816328260634,0.0003837514733378258
22,2.0814681582980685,0.9797968334621854,69.31677924262152,0.00039036482081024186
23,2.063421196407742,0.9647748139169481,68.38785892062717,0.0003550519500600381
24,2.056866831249661,0.954194598727756,68.93684895833333,0.0003077732140405311
25,2.0336513916651406,0.9292703668276469,69.75555080837674,0.00028498645406216383
26,2.0145135588116116,0.9152130020989312,68.86845313178168,0.0003040950331423018
27,1.997807224591573,0.8962538772159152,69.59870741102431,0.00028459497197117243
28,1.9765424728393555,0.8727793958452013,70.0971442328559,0.0002691909014376708
29,1.947728157043457,0.8482983708381653,69.64018079969618,0.0002872519560494564
30,1.924465497334798,0.8174195819430881,70.81595442030165,0.00024525589995189675
31,1.8937235143449571,0.7946646147304111,70.00956471761067,0.0002178836455439321
32,1.884434421857198,0.7732002801365323,70.8538589477539,0.000205561407104445
33,1.847545862197876,0.7398646738794115,71.70478396945529,0.00020829305544288622
34,1.8267618815104167,0.7183624903361002,70.23327128092448,0.00019762775304520296
35,1.8166000710593329,0.6924120386441549,72.5355241563585,0.00018096068945144198
36,1.7929393185509577,0.6682727800475227,73.16993204752605,0.00017508619445531318
37,1.7686793406804402,0.6448609564039443,72.1898193359375,0.0001890327435426621
38,1.7417035632663302,0.6192467742496066,72.53959655761719,0.0001860981089218209
39,1.723785440127055,0.5938883225123087,73.70986768934462,0.00016694714658014063
40,1.7019797166188557,0.5745303763283623,73.29673343234592,0.00015005950182158913
41,1.6782064172956679,0.5510201123025682,73.19060346815321,0.00014337398735935695
42,1.6709225442674425,0.5306348270840116,74.41635386149089,0.00014712524878430285
43,1.6494151751200359,0.5082474218474494,75.00770568847656,0.00015603844723146822
44,1.6286100811428494,0.48448748721016777,75.78140004475911,0.0001474451338354912
45,1.606142282485962,0.4633871813615163,74.99127705891927,0.00015027903039784482
46,1.591548588540819,0.44925084710121155,75.09179602728949,0.00014774623721475818
47,1.5773762729432848,0.43007884754074943,75.90707482231988,0.0001358954864877483
48,1.5546623998218112,0.41146542959743077,75.95264265272353,0.00012953382247360423
49,1.5347033076816134,0.38827380537986755,76.06579165988498,0.0001301213641353469
50,1.5267002979914348,0.3698767688539293,76.59444681803386,0.00012171991693321615
51,1.5134984254837036,0.350680195622974,77.61764017740886,0.00013280743344997367
52,1.4842389822006226,0.3303873572084639,77.53112369113498,0.00012443390652252774
53,1.4696706533432007,0.31466060545709396,76.35872141520183,0.00013477082312521007
54,1.4714730315738254,0.3052060339185927,77.64238823784723,0.00011907473445818241
55,1.4580237600538466,0.2914389934804704,78.2690183851454,0.00011924782706450464
56,1.4390840662850275,0.2710847440693114,78.12640296088324,0.00011755592600416599
57,1.4234604040781658,0.2564898580312729,78.18448045518663,0.0001243377127037901
58,1.4124351077609592,0.23875121275583902,79.1472651163737,0.00011813178732861868
59,1.3976917531755235,0.22566215859519112,79.12358940972223,0.00011646523166240918
60,1.3867269489500258,0.2172811577717463,78.28441280788846,0.00011322457511495386
61,1.3712524308098688,0.2038397060500251,78.90122731526692,0.00010673859247213436
62,1.366650833023919,0.1943970090813107,79.13429853651259,0.00011111764615634456
63,1.3510224024454753,0.17843713031874764,79.4133546617296,0.00011097116334389689
64,1.3366831541061401,0.16418845620420244,78.87777455647786,0.00010827873969295372
65,1.3269091712103949,0.1539691554175483,79.3710708618164,0.00011180278832196361
66,1.3243773910734389,0.15299814028872383,79.17607964409723,0.00011987741082622152
67,1.3078324927224054,0.13759876622094047,79.36277770996094,0.00012083935386423643
68,1.292748663160536,0.121013010541598,79.22432793511285,0.00011708476247602246
69,1.2953892946243286,0.11893611815240648,79.92858547634549,0.0001026165134842611
70,1.2720517847273085,0.09820077940821648,80.48641628689236,0.00010304378601075668
71,1.2678265439139471,0.09200369401110543,80.04992591010199,0.00010344385939081096
72,1.2550826602511935,0.07680176695187886,80.46485816107855,9.439114122263466e-05
73,1.2563875251346164,0.07227282640006807,80.98756578233507,9.578735706680972e-05
74,1.2495797210269504,0.0642628235121568,80.99078199598524,9.338037165839018e-05
75,1.2320110135608249,0.05291265635363137,81.06189982096355,8.83663985102127e-05
76,1.2234736416074965,0.046770569764905505,80.65822092692058,8.766722668143403e-05
77,1.2226156923505995,0.04239418792227904,80.84089491102431,0.00010165561656726318
78,1.2040031221177843,0.027283884559033647,80.550050523546,0.00010652206159041573
79,1.2040646473566692,0.022747933683503006,80.7952414618598,0.00010063760499987338
80,1.1947940852906969,0.016015263067351446,81.0077387491862,8.783222761444954e-05
81,1.1848468250698514,0.00019364400456349054,81.15693071153429,8.187589992303401e-05
82,1.1856266260147095,0.0016395494910991853,81.79919942220052,8.003897447552945e-05
83,1.173057198524475,-0.005512433424074616,81.49126434326172,7.973338829793243e-05
84,1.1558886766433716,-0.0186396941749586,81.03166029188368,8.161429367545579e-05
85,1.154989414744907,-0.023254699138407078,80.81873406304254,8.357727670550553e-05
86,1.1600100464291043,-0.024177533936583333,81.63411119249132,8.145388306325508e-05
87,1.1412479745017157,-0.037819748640888266,82.06916639539931,7.743960062119488e-05
88,1.136060939894782,-0.04389505429814259,81.70140753851996,7.380382077018212e-05
89,1.1341034173965454,-0.04802876048617893,81.31272972954645,6.915861740708351e-05
90,1.1180613570743136,-0.057732188453276954,81.5002178615994,6.824247490537043e-05
91,1.112595796585083,-0.06536138637198342,81.44006432427301,6.989742986560386e-05
92,1.1111692984898884,-0.06573597755697039,81.37787373860677,6.831416006510456e-05
93,1.1029136313332453,-0.07783618610766199,82.12576548258464,6.917768364979161e-05
94,1.0988556014166937,-0.08246450333131684,82.27778625488281,7.568787582891269e-05
95,1.0961152580049303,-0.08547496278252867,82.07311164008246,7.259692291780893e-05
96,1.0879142151938543,-0.09230416992472278,82.3341530693902,6.835131999751966e-05
97,1.0839068094889324,-0.09354284198747741,81.58065626356337,6.403924675800631e-05
98,1.0804972913530138,-0.09878825975788964,81.70221455891927,5.925378233465987e-05
99,1.0650083886252508,-0.10760670238071018,81.81927490234375,6.0675961220921534e-05
100,1.0586129426956177,-0.11225851128498714,81.5653313530816,6.354874252186467e-05
101,1.0647810962465074,-0.10802671768599087,81.21041107177734,6.147986884267691e-05
102,1.0528616772757635,-0.11922930760516061,81.66873508029514,6.01823085162323e-05
103,1.0590761370129056,-0.12048041075468063,82.27947235107422,5.834312994718655e-05
104,1.0565439992480807,-0.12106890603899956,82.38162740071614,5.751601970081942e-05
105,1.0444929997126262,-0.12607329338788986,81.94072129991319,5.659334662292773e-05
106,1.0398106972376506,-0.13942910068564945,82.20284356011285,5.6734858743665325e-05
107,1.038470466931661,-0.14278696974118552,82.5784174601237,5.665191565640271e-05
108,1.0239667097727458,-0.15585156199004915,82.87367502848308,5.583320105668261e-05
109,1.0196270412868924,-0.15560192118088403,82.66811116536458,5.595444559326602e-05
110,1.019395735528734,-0.15227204975154665,81.94892968071832,5.692733247997239e-05
111,1.0168515576256647,-0.16166220770941842,82.16075642903645,5.5131890500585236e-05
112,0.9999298453330994,-0.17262342903349134,82.682373046875,5.378758578444831e-05
113,1.017351057794359,-0.15923262387514114,82.39291042751736,5.455639944153113e-05
114,0.997843345006307,-0.1718703160683314,82.41119130452473,5.642157460291249e-05
115,1.0034005112118192,-0.1721511979897817,82.51708730061848,5.646161743142228e-05
116,0.993217322561476,-0.18304410742388832,82.64999559190538,5.497355717428339e-05
117,0.9891840219497681,-0.18254451950391135,82.51397111680772,4.971984971133578e-05
118,0.9887748691770766,-0.18517661591370901,82.53811560736762,4.8807148333354336e-05
119,0.9843187265925937,-0.19087177183892992,82.55874718560113,4.793134131533508e-05
120,0.9786297016673617,-0.1938278079032898,82.63055335150824,4.8642467542473845e-05
