episode,total_steps,avg_reward,avg_throughput,avg_non_blocked,avg_load_balance,value_loss,action_loss,entropy_loss,lr
1,6000,-0.27361493763150874,51168841.081178285,0.9215185185185185,-0.2739756308899527,5.149044469197591,-8.113012065454465e-05,0.056779998779296875,0
2,12000,-0.2721571618820851,51339686.15717194,0.9232525252525252,-0.2724527177376405,5.0537214253743485,-6.472748562310926e-05,0.05680990258852641,0
3,18000,-0.26923810376834717,51399116.926442504,0.9255353535353535,-0.26953999854502086,4.87915451558431,-5.790999484641664e-05,0.05684288795789083,0
4,24000,-0.27128508452465244,51441442.67143224,0.925929292929293,-0.2718420294507244,5.0505611623128255,-5.520087679639119e-05,0.05687921945254008,0
5,30000,-0.26933445484760665,51415487.70668411,0.9266430976430977,-0.26987637570451567,4.856190485636393,-5.712374241890453e-05,0.05690955543518066,0
6,36000,-0.2682695029416927,51408433.746237256,0.9268552188552189,-0.2688323950936474,4.807371612548828,-6.475599552906412e-05,0.05693218088150025,0
7,42000,-0.2688971297576916,51272211.66786606,0.9247845117845119,-0.2692545200975741,4.799808725992839,-5.609316905168763e-05,0.056931243737538655,0
8,48000,-0.26768406947278445,51397668.972218536,0.9267003367003368,-0.2681515397593333,4.69099592590332,-5.92274204781044e-05,0.05695369895299276,0
9,54000,-0.2680262845613134,51491858.12986687,0.9281447811447812,-0.2685252831514016,4.740673385620117,-6.041477829990072e-05,0.05695483708381653,0
10,60000,-0.2648454546543958,51437824.2692639,0.9271885521885522,-0.26531061251026533,4.616226476033528,-5.2063512336815164e-05,0.05696574989954631,0
11,66000,-0.2646513953323894,51403143.87880833,0.9276228956228956,-0.26532382553304695,4.4678734741210935,-5.36483062192777e-05,0.056976657072703045,0
12,72000,-0.2645094060506011,51569361.08661462,0.930979797979798,-0.26498460385430683,4.564494079589844,-5.2159812291999214e-05,0.056984233856201175,0
13,78000,-0.26340401810607683,51466936.5081184,0.9284511784511784,-0.2638605415347674,4.407062922159831,-5.447779098813044e-05,0.05698867654800415,0
14,84000,-0.264249527721364,51325349.22748168,0.9252794612794613,-0.26460069643894846,4.394040425618489,-5.142412493273696e-05,0.05699596699078878,0
15,90000,-0.2596152031308373,51351870.91201157,0.9303265993265992,-0.2599551257902882,4.348662836710612,-5.255051241103577e-05,0.056972365140914916,0
16,96000,-0.26430380052563607,51496601.26453915,0.9307575757575759,-0.2646905095057879,4.3508668111165365,-4.835372133842005e-05,0.05697575696309407,0
17,102000,-0.2594336117555627,51372520.34460214,0.9304612794612795,-0.2599283870018081,4.221441375732422,-5.3203602819849036e-05,0.0569978920618693,0
18,108000,-0.26071496593113574,51498265.9389352,0.9315791245791246,-0.26074988819746986,4.236460637410482,-3.5953507884187275e-05,0.05701111888885498,0
19,114000,-0.2563465088885946,51468219.496473886,0.9338585858585858,-0.2567991679773113,4.058740280151367,-5.9662099634048596e-05,0.05700697167714437,0
20,120000,-0.25909415862277385,51521748.16330621,0.9319393939393938,-0.2597017516563567,4.046374506632487,-4.9273936799181686e-05,0.05700578888257345,0
21,126000,-0.25860473606537904,51381953.97500684,0.930909090909091,-0.25891624314484235,4.151471832275391,-5.277677244688069e-05,0.05700449728965759,0
22,132000,-0.258653522385011,51350548.63391857,0.9287272727272726,-0.25900827880017,3.998185979207357,-4.978162227631818e-05,0.05701542448997497,0
23,138000,-0.2570858259111037,51447279.4043017,0.9320370370370372,-0.25734742225675017,4.087355260213216,-4.3594291297390936e-05,0.05703148341178894,0
24,144000,-0.25612290959307826,51395491.35112839,0.9305925925925926,-0.2564003026448725,3.838951047261556,-4.3938178231352744e-05,0.05705520264307658,0
25,150000,-0.25818760213308334,51368343.159201406,0.930131313131313,-0.2586225686954121,3.920267369588216,-2.8835638839685393e-05,0.05706622497240702,0
26,156000,-0.25516271248754485,51525229.11398973,0.9338518518518518,-0.25559320196673835,3.722253885904948,-4.725545440010137e-05,0.057067975441614786,0
27,162000,-0.2533320585970459,51391967.516045615,0.9325589225589225,-0.2538128338390675,3.6665156224568687,-5.4203400940120144e-05,0.057049918174743655,0
28,168000,-0.2530550811167149,51375726.695345506,0.9312390572390573,-0.25325360983700496,3.643099772135417,-5.33126445949866e-05,0.05703180170059204,0
29,174000,-0.2527872767841315,51307187.10996708,0.9294175084175084,-0.2531661108358406,3.648639383951823,-3.410299297221779e-05,0.05703021518389384,0
30,180000,-0.25243323858246297,51334841.07704623,0.9322861952861954,-0.25274872007146315,3.5871080373128255,-5.0400718002833856e-05,0.057040715058644616,0
31,186000,-0.25435422070130814,51356702.597824335,0.9302895622895623,-0.25458370252104157,3.616881841023763,-3.9946568062684186e-05,0.05702770137786865,0
32,192000,-0.25289759353983843,51284050.17757225,0.9304646464646467,-0.25330302796273135,3.48780007425944,-4.713248792343923e-05,0.05701891525586446,0
33,198000,-0.2490674646345617,51432317.88539394,0.9357474747474748,-0.24961145896095407,3.3135644760131835,-3.931336576806643e-05,0.05702341945966085,0
34,204000,-0.2513226947482364,51279175.699867286,0.9307811447811448,-0.2516951447642699,3.3547783482869464,-3.968375561650343e-05,0.057025778770446775,0
35,210000,-0.24851353071342416,51392822.154076934,0.932979797979798,-0.24892136781126167,3.202396054585775,-3.117527076877498e-05,0.05703640516599019,0
36,216000,-0.24886890921844793,51614097.32076428,0.9372491582491583,-0.2492453379600384,3.14664784749349,-4.3983416960751735e-05,0.05704181671142578,0
37,222000,-0.24812269441861054,51473685.009248696,0.9342895622895624,-0.24838354842461133,3.0981124649047853,-3.410196377096023e-05,0.05702699661254883,0
38,228000,-0.24729303724880336,51461364.838449776,0.9346127946127947,-0.24749752714144077,2.9438166987101235,-4.792941692934013e-05,0.05702155860265096,0
39,234000,-0.24555928667370813,51463822.56578283,0.9376161616161616,-0.24588207989906338,2.8644255650838217,-3.613761879523736e-05,0.05703403170903524,0
40,240000,-0.24738623139108665,51376957.016988285,0.933077441077441,-0.24746252804128566,2.8886960678100584,-1.7760996736456036e-05,0.057057175318400065,0
41,246000,-0.2461554331638359,51392136.94571622,0.9342794612794614,-0.24635811616423564,2.778504595438639,-2.9847001673563984e-05,0.057064062118530275,0
42,252000,-0.24631970055872315,51499002.788562015,0.937956228956229,-0.2465525916741937,2.6813389180501304,-2.0562460099366576e-05,0.057072473764419554,0
43,258000,-0.248101799410212,51435857.93293659,0.9343771043771042,-0.24838012123443642,2.760256291707357,-3.083764179245918e-05,0.05708922735850016,0
44,264000,-0.24320731247821145,51604070.500295766,0.939006734006734,-0.2433692156756628,2.608733299255371,-1.8376265880457748e-05,0.057107062180837,0
45,270000,-0.2467137336767607,51371327.204198025,0.9331313131313131,-0.24713940812259347,2.545090171813965,-2.8180708751278872e-05,0.05712698165575663,0
46,276000,-0.2466173741567192,51369250.20488383,0.9344006734006735,-0.246838689433895,2.493985143025716,-2.052954309389558e-05,0.05715873575210571,0
47,282000,-0.24637657466046559,51430255.82042933,0.9339898989898989,-0.24677731427728347,2.406935249328613,-1.4720173749083187e-05,0.057173624277114865,0
48,288000,-0.24511157418886914,51386184.96775821,0.9337441077441079,-0.24535769791264905,2.307244374593099,-2.8964973438481443e-05,0.05718259525299072,0
49,294000,-0.24236082686922253,51323884.871893786,0.9332929292929293,-0.2427479981424669,2.175405642191569,-2.798915684028695e-05,0.0572029504776001,0
50,300000,-0.24455137951656908,51279138.33191829,0.9332592592592591,-0.24479726737333446,2.2470129623413087,-2.6288059576624314e-05,0.057214099327723186,0
51,306000,-0.24650361212620134,51375231.21548918,0.9336599326599326,-0.2466116598635792,2.2179270146687826,-1.1058602738557966e-05,0.05721375290552775,0
52,312000,-0.2408528652139067,51398865.841577284,0.9350909090909092,-0.24123671888667497,1.9882518323262532,-2.114918304039293e-05,0.05721577660242717,0
53,318000,-0.24554770935267123,51467598.18603187,0.9370673400673402,-0.2458970060833694,2.0796669629414875,-2.2750774644083075e-05,0.057225061098734535,0
54,324000,-0.24448086355227003,51294838.831786215,0.9308518518518519,-0.24472714391712785,1.8860724347432454,-1.6435847352113342e-05,0.057234518845876055,0
55,330000,-0.24446620444185782,51413449.75995921,0.9345555555555556,-0.24490143199571512,1.931045492808024,-2.1643574635163532e-05,0.05724530045191447,0
56,336000,-0.24235903343325763,51304720.9875162,0.93293265993266,-0.2426199967132894,1.8286861165364583,-2.8945255576369768e-05,0.05724984033902486,0
57,342000,-0.2433626110851845,51391287.99262239,0.935043771043771,-0.24338401989282857,1.8250107968648275,-1.9535596862321352e-05,0.05725370152791341,0
58,348000,-0.24251958562333087,51282905.9331817,0.9324175084175084,-0.2426431401749394,1.7471508661905923,1.2486338397745081e-06,0.05726341867446899,0
59,354000,-0.24089314468387446,51518127.28030742,0.9365824915824916,-0.24107927469505558,1.6576500600179036,-3.116833483416788e-05,0.05726766530672709,0
60,360000,-0.24032601967803263,51348286.821525514,0.9353367003367002,-0.24046492236149808,1.6183287722269695,-1.4681698377899011e-05,0.057286962747573854,0
61,366000,-0.24164224904933151,51467632.5169591,0.9355959595959596,-0.2419702516215923,1.6734266039530437,-1.7156985606561646e-05,0.05732106955846151,0
