episode,total_steps,avg_reward,critic_loss,actor_loss,throughput,non_blocked,load_balance
0,100,-26.362296976490963,9.062137775421142,-0.3311169863678515,51722151.85513639,0.9355199999999998,-0.2616467400830722
1,200,-25.684291617913587,3.3226838,0.5487307,51578053.61931201,0.9348133333333333,-0.2545172604626273
2,300,-25.631180883935095,1.735994,1.3486817,51825826.35057234,0.9401066666666665,-0.254156641586437
3,400,-25.710731642349767,1.3640487,1.4084845,52025328.63107162,0.9422733333333331,-0.25485422454752593
4,500,-25.241826612338137,1.1379144,1.5487001,52019875.79338544,0.943653333333333,-0.25028306330827904
5,600,-24.882689548280286,0.9959357,1.7248555,51948412.2560653,0.9442933333333333,-0.24671819440013223
6,700,-24.609806204054905,0.90971076,1.793406,52162419.44757326,0.9497066666666665,-0.24409374522421823
7,800,-24.352525158887374,0.85309,1.9286696,52248548.9377156,0.9512533333333332,-0.24153208658056624
8,900,-23.816318083860224,0.795605,2.085228,52186303.95931185,0.9519933333333331,-0.23649095298271758
9,1000,-23.545711220145115,0.8381258,2.2227557,52130869.37588679,0.9537733333333333,-0.23328789135426695
10,1100,-23.088250444178495,0.8381067,2.3280401,52387545.732077286,0.9582,-0.22907354828076817
11,1200,-22.99655123549091,0.82757676,2.4434872,52183199.201730415,0.9567533333333331,-0.22779456156077452
12,1300,-22.536357584843635,0.7893261,2.590642,52423941.38465968,0.9615266666666665,-0.223380379051509
13,1400,-22.413034208584573,0.7789879,2.7136939,52385490.02693585,0.96138,-0.22203572596768728
14,1500,-22.08738884686339,0.7990252,2.849653,52242321.39647849,0.9616466666666665,-0.21885192531877376
15,1600,-22.034853585720995,0.7995377,2.9831586,52194810.925898455,0.9605666666666667,-0.21832835094132774
16,1700,-21.745400560320665,0.7800525,3.1624138,52203336.635254644,0.9618933333333335,-0.21555680258267249
17,1800,-21.656424434596804,0.79760253,3.307192,52374300.36533474,0.9625066666666664,-0.21478558288565372
18,1900,-21.38131760752165,0.7787631,3.4077864,52380170.41977947,0.9648933333333332,-0.21184191958528534
19,2000,-21.599755863926745,0.80471873,3.5202122,52114888.62767323,0.9599799999999998,-0.21401413806194844
20,2100,-21.281976937460236,0.8032283,3.6737974,52183201.650114395,0.9608399999999998,-0.21070375640410602
21,2200,-21.172790827804228,0.7598455,3.8271208,52202620.27576341,0.9619133333333332,-0.20958213826638392
22,2300,-21.186700552975342,0.7605149,3.9892523,52135809.591352835,0.9609333333333331,-0.20988624324120497
23,2400,-21.280172725979167,0.78756744,4.1301303,52114512.73153485,0.9603733333333333,-0.21078280416669476
24,2500,-21.077613614987683,0.77182126,4.261842,52191302.51582143,0.9619333333333332,-0.20881994283005154
25,2600,-20.646069237458104,0.7861571,4.3744507,52104372.86327357,0.9633399999999999,-0.20447531185722584
26,2700,-20.464085763122437,0.8112337,4.5419602,52053829.20192751,0.9615533333333333,-0.20264824347886792
27,2800,-20.53388946383408,0.80184054,4.6748924,52025031.827275515,0.9646999999999999,-0.20328133604177884
28,2900,-20.286928536864654,0.78655344,4.8115234,52072835.51159705,0.9633933333333331,-0.20113172845780594
29,3000,-20.489351871210058,0.77633446,4.948855,52050826.280217916,0.9629133333333332,-0.20302578661446216
30,3100,-20.227421842007928,0.7772702,5.056368,52104269.95678409,0.9650999999999998,-0.20040771670574817
31,3200,-20.268045919618377,0.81008226,5.2342014,52172711.72745896,0.964513333333333,-0.20092834707216398
32,3300,-20.049773177604816,0.7844001,5.378329,52178962.433406845,0.9649266666666666,-0.19877400311511687
33,3400,-20.113250705386744,0.803149,5.5267406,52050731.295475915,0.9634733333333333,-0.19928358109070313
34,3500,-20.08847775218,0.86808014,5.667108,52062160.38246565,0.9639266666666665,-0.19905652109619515
35,3600,-19.77799405822991,0.89387697,5.7681236,52238546.7345036,0.9660666666666665,-0.19603263813925761
36,3700,-19.64898985136591,0.82435447,5.867193,51983604.78670786,0.9650399999999999,-0.19460816212044876
37,3800,-19.615490277090096,0.84286356,6.0643573,52160696.322407335,0.96686,-0.19423291315115504
38,3900,-19.60435364046374,0.85516053,6.131947,52072831.20471263,0.9659,-0.19419966739566924
39,4000,-19.653185698322662,0.8966692,6.3205247,52115883.62704404,0.9668666666666665,-0.19477583655923805
40,4100,-19.763906718687558,0.894645,6.3798304,51945949.507272914,0.9627933333333334,-0.1959053214453346
41,4200,-19.579457828988385,0.8942064,6.596935,51977937.01551295,0.9647933333333333,-0.19398326212610784
42,4300,-19.470987277337663,0.93536246,6.6292305,52019188.4620089,0.9661399999999997,-0.19297566792521245
43,4400,-19.300004960689684,0.93413526,6.825284,52173786.32857953,0.9686533333333334,-0.19127130031651784
44,4500,-19.46232352760139,1.0418591,7.008407,52024204.709242545,0.96338,-0.19294275616158382
45,4600,-19.5558987949218,0.8956786,7.0789866,52045504.5392704,0.9670866666666664,-0.1938578118983875
46,4700,-19.252560149082555,0.9367951,7.159252,52092393.52485294,0.9678733333333331,-0.19071337408891212
47,4800,-19.15457679367352,0.8877725,7.4297786,52206673.036638625,0.9681266666666667,-0.18988903544733093
48,4900,-19.188786685031346,0.8788055,7.49821,52048435.692961715,0.9668199999999998,-0.19013244590881656
49,5000,-19.248439339526815,0.8146951,7.652323,52292130.23373864,0.9698866666666665,-0.19087115963350987
50,5100,-19.260969509415883,1.0572113,7.7780724,52191162.294417374,0.9668866666666667,-0.19092987005055118
51,5200,-18.9655661083993,1.0127833,7.872207,52087837.95913146,0.9680466666666667,-0.18778510998409867
52,5300,-18.911912548977522,1.0747892,7.9319386,52103752.68483303,0.96912,-0.1873919778275667
53,5400,-18.93269618687059,1.0042834,8.198435,52094716.506103545,0.9667600000000001,-0.1877522327707642
54,5500,-19.271414636276454,1.0371835,8.23562,52124033.728934504,0.9668666666666665,-0.19112947338587816
55,5600,-18.841289784429552,1.0521955,8.530163,51929551.12203753,0.9667133333333333,-0.18655576359315248
56,5700,-18.76658340377045,0.9730341,8.559948,52007535.280944385,0.9686199999999999,-0.1859131243406785
57,5800,-18.637909666899038,1.0838114,8.7336855,52149458.20695634,0.9698466666666667,-0.1845192247595507
58,5900,-18.935259784498744,0.9915998,8.782742,52201626.55281046,0.9693133333333334,-0.18767238902062194
59,6000,-18.803163119769764,1.0774881,8.930979,51984006.502094984,0.9663333333333333,-0.1864000902406772
60,6100,-18.5804515461784,1.0399656,8.886471,52072079.7755018,0.9698999999999999,-0.1841585916653566
61,6200,-18.78702420007748,1.1803454,9.057423,52147720.85892675,0.96964,-0.18603086644302305
62,6300,-18.738414457164087,1.0979965,9.240259,52086657.55185375,0.9699599999999998,-0.18566108256346497
63,6400,-18.733873724653915,1.141733,9.338556,51963077.33991134,0.9683466666666667,-0.18561570687328405
64,6500,-18.658267840793048,1.1546513,9.351083,52101380.844678864,0.9684266666666667,-0.18482776129981515
