episode,total_steps,avg_reward,avg_throughput,avg_non_blocked,avg_load_balance,value_loss,action_loss,entropy_loss,lr
1,6000,-0.2632581852467351,51125934.91120613,0.921969696969697,-0.26338963245381675,4.9669249165852865,-7.761526094250825e-05,0.05677758010228475,0
2,12000,-0.26208493704505065,51168856.19690681,0.9215218855218855,-0.26226068614546216,4.938910293579101,-6.289037386128864e-05,0.0568128141562144,0
3,18000,-0.2590153850195174,51307421.79400708,0.9261851851851853,-0.2591403771139927,4.746093170166016,-6.0088606276470574e-05,0.05685638316472372,0
4,24000,-0.261209893928765,51321520.69850362,0.926063973063973,-0.26159820019579133,4.857580362955729,-5.4412745850053546e-05,0.056899566968282064,0
5,30000,-0.2593234352783624,51271108.36128389,0.9273905723905725,-0.25970144507114673,4.741746490478516,-5.590052943627673e-05,0.05693092616399129,0
6,36000,-0.25726782210845744,51280195.422592156,0.9273939393939394,-0.25760209757098973,4.632435740152995,-6.385610299488083e-05,0.056948064724604286,0
7,42000,-0.25987616992090323,51252693.684199326,0.9264242424242426,-0.26008244755637194,4.65758864847819,-5.666611920268376e-05,0.056938501834869384,0
8,48000,-0.2576404875917854,51305016.00539941,0.9265791245791247,-0.25792441181555,4.571145370483398,-6.032134952852175e-05,0.05696442008018494,0
9,54000,-0.2591972011755826,51347551.735837005,0.9273535353535353,-0.2595721869581953,4.619669057210286,-6.098238119132778e-05,0.05696306912104289,0
10,60000,-0.2547782166406566,51321349.981954455,0.9273400673400672,-0.2550229128976563,4.4956540171305335,-5.485410713245642e-05,0.05697120348612467,0
11,66000,-0.2544565360748956,51357211.61359111,0.9297609427609429,-0.2548330915551624,4.334981948852539,-5.3444465787985485e-05,0.05698836946487427,0
12,72000,-0.2530747958889443,51546687.17483243,0.9341077441077442,-0.25323408174355033,4.395026763916015,-5.311841765679522e-05,0.0569962408542633,0
13,78000,-0.25287955213326163,51449878.427772805,0.9297710437710438,-0.2530005809026199,4.224607879638672,-5.2589125472498684e-05,0.05699632986386617,0
14,84000,-0.25440063148396863,51274716.160924286,0.9277878787878787,-0.25465333395066697,4.263188649495443,-5.070829776051748e-05,0.05700757908821106,0
15,90000,-0.2504643518543328,51301359.25206533,0.9314175084175084,-0.2506064838999155,4.214922724405924,-5.0976867780567166e-05,0.05698132109642029,0
16,96000,-0.2532348096537353,51410647.293997675,0.9323804713804714,-0.2534346606074416,4.175994944254557,-4.8157898947162416e-05,0.05697929128011068,0
17,102000,-0.24799413488222483,51358870.97592301,0.9325858585858586,-0.2483178700772744,4.0606943359375,-5.830455106070076e-05,0.05699394814173381,0
18,108000,-0.25032606219364173,51439469.10706035,0.9321885521885523,-0.25032025003325237,4.105477411905924,-3.738361900955075e-05,0.05699753816922506,0
19,114000,-0.24529013801909438,51446254.19615012,0.9364713804713806,-0.2456235885344819,3.908302174886068,-5.7763940148712816e-05,0.05699719945589701,0
20,120000,-0.2470919164574907,51392589.85329931,0.933104377104377,-0.24752469814720507,3.862584058125814,-4.832431462538504e-05,0.056996691703796384,0
21,126000,-0.24665308879436224,51389097.742554545,0.9336397306397306,-0.24686415557336922,3.958727335611979,-5.003919174926826e-05,0.05699396634101868,0
22,132000,-0.24620786632378894,51350170.78072339,0.9304343434343435,-0.24644589547578882,3.7678000768025717,-4.6090134748374054e-05,0.05700697127978007,0
23,138000,-0.24598819952848505,51500992.25736357,0.9356969696969698,-0.24608641129662984,3.8822207107543947,-4.222231468046781e-05,0.05702750778198242,0
24,144000,-0.24103189299392527,51358773.88504643,0.9336296296296297,-0.24116054406311588,3.647125602722168,-4.493238203739717e-05,0.057054469505945844,0
25,150000,-0.24570780494755748,51380076.13887417,0.9331481481481481,-0.24588909980768672,3.691401084899902,-2.3316908493635916e-05,0.05706089170773824,0
26,156000,-0.24174158663489348,51559456.8516163,0.9385858585858585,-0.24208321785422815,3.4918487192789716,-4.858336693618526e-05,0.057060263315836586,0
27,162000,-0.24108337335128824,51385994.39081639,0.9350875420875421,-0.24133896858525555,3.496918830871582,-5.080344069345225e-05,0.057043664137522376,0
28,168000,-0.24080309543502298,51352241.367036894,0.9343468013468013,-0.2408162361803614,3.502077336629232,-5.111076346565824e-05,0.05702522389094035,0
29,174000,-0.24122213358544733,51284853.696881,0.9333164983164982,-0.241474859181962,3.49561550394694,-3.594145179479824e-05,0.05702509768803914,0
30,180000,-0.24114942219070987,51453321.67479314,0.9374814814814814,-0.2412350883490202,3.4344299189249674,-4.9101154899441706e-05,0.05703397329648336,0
31,186000,-0.24282639928846989,51458903.59513573,0.9352828282828283,-0.2429710303935743,3.460451868693034,-3.547984788550214e-05,0.05702457412083944,0
