episode,total_steps,avg_reward,avg_throughput,avg_non_blocked,avg_load_balance,value_loss,action_loss,entropy_loss,lr
1,6000,-0.2715067321565656,51330310.371540435,0.9230134680134682,-0.2719165207444204,5.044216552734375,-8.59908240081495e-05,0.0567648381392161,0
2,12000,-0.26911213368664905,51304353.016137645,0.9242087542087543,-0.2696596847407235,4.943545908610026,-6.387653459864851e-05,0.05676785063743591,0
3,18000,-0.268405782199898,51344121.71604849,0.9246632996632996,-0.2687131610806475,4.833233235677083,-6.472609610227664e-05,0.05677335794766744,0
4,24000,-0.27064169942943667,51394562.660235904,0.9243703703703704,-0.27098628138359654,4.942616806030274,-5.3019719176641425e-05,0.05680331428845724,0
5,30000,-0.2691941485980264,51398719.71826427,0.925915824915825,-0.2697747330921387,4.966962214152018,-5.369579423010388e-05,0.056816675186157226,0
6,36000,-0.2677046212369677,51372159.968849465,0.9276565656565657,-0.26816853897897575,4.79593618774414,-5.099646686350449e-05,0.056828282992045086,0
7,42000,-0.26732931907414154,51329454.6058886,0.9252659932659932,-0.26776489878671644,4.730658813476563,-5.4086100031289184e-05,0.05683098189036052,0
8,48000,-0.26651835472001895,51347191.18108469,0.9248686868686867,-0.26692176793506683,4.737034337361654,-5.574742675810285e-05,0.056835723956425985,0
9,54000,-0.2657693104721605,51343965.68093492,0.9247845117845117,-0.2662815081380728,4.571703918457032,-6.261454422156021e-05,0.05684606115023295,0
10,60000,-0.26766340433212343,51404618.88916291,0.9254478114478114,-0.2681048675618086,4.681686391194662,-5.916945393778406e-05,0.056857630968093875,0
11,66000,-0.26627964866694237,51380032.61454285,0.9242087542087543,-0.2666149119282593,4.6784061991373695,-3.833866748467093e-05,0.05687653954823812,0
12,72000,-0.2653823904343369,51282566.48265024,0.9232053872053873,-0.2658633881186295,4.555119105021159,-4.9927719861595204e-05,0.05687925926844279,0
13,78000,-0.2652153060763444,51302513.791538864,0.9246531986531987,-0.26564268378199923,4.535225840250651,-5.7171031877866576e-05,0.05688741604487101,0
14,84000,-0.2631058509417307,51206416.51556144,0.9221885521885522,-0.26349032538191725,4.332179814656575,-4.635402045740496e-05,0.05690714502334595,0
